Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID,,,,,
"Akhil S., Isaac Joseph T., Girish K.L., Sathyan P.",57210409467;55062306400;49561137800;55060152100;,Accuracy of Demirjian's and Indian-specific formulae in age estimation using eight-teeth method in Kanyakumari population,2019,Indian Journal of Dental Research,30,3,,352,357,,,10.4103/ijdr.IJDR_768_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070599586&doi=10.4103%2fijdr.IJDR_768_17&partnerID=40&md5=be3be5b61dd5e5be520c4f7ef06a804d,Age estimation; Demirjian's method; mean absolute error,,Article,Final,Open Access,Scopus,2-s2.0-85070599586,,,,,
"Akkaya N., Yılancı H.Ö., Boyacıoğlu H., Göksülük D., Özkan G.",23979452900;56607294700;57207816260;56386076800;56653572100;,Accuracy of the use of radiographic visibility of root pulp in the mandibular third molar as a maturity marker at age thresholds of 18 and 21,2019,International Journal of Legal Medicine,133,5,,1507,1515,,1,10.1007/s00414-019-02036-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062976090&doi=10.1007%2fs00414-019-02036-x&partnerID=40&md5=fea39b2c112a04da0156524d339705a1,Adult children; Age assessment; Dental pulp/diagnostic imaging; Forensic dentistry; Panoramic; Radiography,,Article,Final,,Scopus,2-s2.0-85062976090,,,,,
"al Qattan F., Alzoubi E.E., Lucas V., Roberts G., McDonald F., Camilleri S.",57210889406;57210888355;8042276500;57061571400;7101981131;6701854111;,Root Pulp Visibility as a mandibular maturity marker at the 18-year threshold in the Maltese population,2019,International Journal of Legal Medicine,,,,,,,,10.1007/s00414-019-02155-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071742348&doi=10.1007%2fs00414-019-02155-5&partnerID=40&md5=8ffe1b43406869d35e72068607ed01be,Dental age estimation; Dental panoramic tomogram; Root Pulp Visibility; Third molar,,Article,Article in Press,,Scopus,2-s2.0-85071742348,,,,,
"Alqadi M.A., Abuaffa A.H.",57209272758;57209273822;,Validity of the demirjian and fishman methods for predicting chronological age amongst yemeni children,2019,Sultan Qaboos University Medical Journal,19,1,,e26,e31,,,10.18295/squmj.2019.19.01.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067101179&doi=10.18295%2fsqumj.2019.19.01.006&partnerID=40&md5=a2638cdea231bd6ce55d79e3ce0b9649,Adult children; Age determination by skeleton; Age determination by teeth; Children; Diagnostic imaging; Yemen,adolescent; age; child; cross-sectional study; dental age estimation; female; forecasting; human; male; procedures; regression analysis; Yemen; Adolescent; Age Determination by Teeth; Age Factors; Child; Cross-Sectional Studies; Female; Forecasting; Humans; Male; Regression Analysis; Yemen,Article,Final,Open Access,Scopus,2-s2.0-85067101179,,,,,
"AlShahrani I., Yassin S.M., Togoo R.A., Tikare S., Khader M.A., Alkahtani Z.M.",56195381400;57193225994;55341907200;36462883500;56102717700;56352295800;,Age estimation by measurement of open apices in tooth roots: Study using Saudi Arabian samples,2019,Journal of Forensic and Legal Medicine,62,,,63,68,,,10.1016/j.jflm.2019.01.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060189431&doi=10.1016%2fj.jflm.2019.01.010&partnerID=40&md5=9f26ed29d0956f5e41b18ab47e80ff3a,Age determination; Forensic odontology; Regression analysis; Saudi children,"age determination; article; child; controlled study; dentistry; female; gender; girl; human; linear regression analysis; major clinical study; male; odontometry; prediction; remission; Saudi; tooth root; cross-sectional study; dental age estimation; diagnostic imaging; growth, development and aging; panoramic radiography; procedures; regression analysis; Saudi Arabia; tooth apex; Age Determination by Teeth; Child; Cross-Sectional Studies; Female; Humans; Male; Radiography, Panoramic; Regression Analysis; Saudi Arabia; Tooth Apex",Article,Final,,Scopus,2-s2.0-85060189431,,,,,
"Alsudairi D.M., AlQahtani S.J.",57205202966;56450570300;,Testing and comparing the accuracy of two dental age estimation methods on saudi children: Measurements of open apices in teeth and the London Atlas of Tooth Development,2019,Forensic Science International,295,,,2.26E+03,2.26E+11,,,10.1016/j.forsciint.2018.11.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058994952&doi=10.1016%2fj.forsciint.2018.11.011&partnerID=40&md5=6aa9f218519b38ccc77845b737ec03f2,Age estimation; Cameriere's method; Forensic anthropology population data; Forensic dentistry; London Atlas; Saudi Arabia,"adolescent; Article; child; controlled study; dental age estimation; dentistry; digital radiography; female; forensic anthropology; forensic identification; human; human experiment; male; maturity; normal human; panoramic radiography; priority journal; Saudi; sex difference; tooth development; comparative study; cross-sectional study; dental age estimation; diagnostic imaging; growth, development and aging; panoramic radiography; procedures; regression analysis; reproducibility; retrospective study; Saudi Arabia; secondary dentition; tooth apex; tooth eruption; Adolescent; Age Determination by Teeth; Child; Cross-Sectional Studies; Dentition, Permanent; Female; Humans; Male; Radiography, Panoramic; Regression Analysis; Reproducibility of Results; Retrospective Studies; Saudi Arabia; Tooth Apex; Tooth Eruption",Article,Final,,Scopus,2-s2.0-85058994952,,,,,
"Angelakopoulos N., De Luca S., Palacio L.A.V., Coccia E., Ferrante L., Pinchi V., Cameriere R.",57192371472;36458215000;57117511100;10039007800;55327516300;16507606500;6507826165;,Age estimation by measuring open apices in teeth: a new formula for two samples of South African black and white children,2019,International Journal of Legal Medicine,133,5,,1529,1536,,,10.1007/s00414-019-02096-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068068778&doi=10.1007%2fs00414-019-02096-z&partnerID=40&md5=56f645a14fd79f2bf38a0ece97b622d3,Bayesian calibration; Dental age estimation; Forensic sciences; Forensic statistics; South Africa,article; calibration; child; cross-sectional study; dental age estimation; ethnicity; female; forensic science; girl; human; infant; major clinical study; male; mandible; maturity; retrospective study; South Africa; South African; statistics,Article,Final,,Scopus,2-s2.0-85068068778,,,,,
"Asif M.K., Ibrahim N., Al-Amery S.M., John J., Nambiar P.",57190606383;16679218700;55960977600;55769747290;7003263695;,Juvenile versus adult: A new approach for age estimation from 3-dimensional analyses of the mandibular third molar apices,2019,Journal of Forensic Radiology and Imaging,19,,100347,,,,,10.1016/j.jofri.2019.100347,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074169512&doi=10.1016%2fj.jofri.2019.100347&partnerID=40&md5=2267b0597a3b46cac398e6aca114be47,Age estimation; Apices; Cone beam computed tomography; Malay population; Third molars; Three-dimensional,adolescent; adult; age determination; article; cone beam computed tomography; controlled study; female; gender; human; human experiment; image analysis; juvenile; Malay (people); male; mandible; mandibular third molar; post hoc analysis; predictor variable; root development; software,Article,Final,,Scopus,2-s2.0-85074169512,,,,,
"Auf der Mauer M., Säring D., Stanczus B., Herrmann J., Groth M., Jopp-van Well E.",55574149000;14016543500;57201074586;36487961100;24331525100;57189849832;,A 2-year follow-up MRI study for the evaluation of an age estimation method based on knee bone development,2019,International Journal of Legal Medicine,133,1,,205,215,,3,10.1007/s00414-018-1826-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044377817&doi=10.1007%2fs00414-018-1826-4&partnerID=40&md5=ebae8a0c082a1c2a03ed7907d83a3e8d,Age estimation; Follow-up study; Growth plates; Knee; MRI; Ossification,"adolescent; bone age determination; bone development; diagnostic imaging; epiphysis; femur; fibula; follow up; forensic anthropology; growth, development and aging; human; knee; male; nuclear magnetic resonance imaging; procedures; prospective study; tibia; vascularization; young adult; Adolescent; Age Determination by Skeleton; Epiphyses; Femur; Fibula; Follow-Up Studies; Forensic Anthropology; Humans; Knee Joint; Magnetic Resonance Imaging; Male; Osteogenesis; Prospective Studies; Tibia; Young Adult",Article,Final,,Scopus,2-s2.0-85044377817,,,,,
"Bagattoni S., D'Alessandro G., Gatto M.R., Piana G.",56165682000;36010310700;7006490964;6701382399;,Applicability of Demirjian's method for age estimation in a sample of Italian children with Down syndrome: A case-control retrospective study,2019,Forensic Science International,298,,,336,340,,,10.1016/j.forsciint.2019.03.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063318974&doi=10.1016%2fj.forsciint.2019.03.015&partnerID=40&md5=8390e31d8bc83f0fbc15f5db5539848e,Demirjian's method; Dental age; Down syndrome,"adolescent; Article; case control study; child; controlled study; Demirjian method; dental age estimation; Down syndrome; female; human; intermethod comparison; Italian (citizen); male; panoramic radiography; priority journal; retrospective study; tooth development; dental age estimation; diagnostic imaging; Down syndrome; growth, development and aging; Italy; procedures; tooth; tooth development; Adolescent; Age Determination by Teeth; Case-Control Studies; Child; Down Syndrome; Female; Humans; Italy; Male; Radiography, Panoramic; Retrospective Studies; Tooth; Tooth Calcification",Article,Final,,Scopus,2-s2.0-85063318974,,,,,
